id,DT,NFC,SM
P-0126,0.01,0.44,0.33
P-0127,0.01,0.46,0.08
P-0128,0.01,0.40,0.06
P-0129,0.01,0.26,0.32
P-0130,0.01,0.64,0.39
P-0131,0.01,0.53,0.20
P-0132,0.01,0.45,0.57
P-0133,0.01,0.35,0.09
P-0134,0.01,0.45,0.12
P-0135,0.01,0.60,0.54
P-0136,0.01,0.78,0.53
P-0137,0.01,0.47,0.09
P-0138,0.01,0.28,0.36
P-0139,0.01,0.49,0.02
P-0140,0.01,0.31,0.21
P-0141,0.01,0.16,0.01
P-0142,0.01,0.54,0.31
P-0143,0.01,0.55,0.05
P-0144,0.01,0.61,0.39
P-0145,0.01,0.31,0.16
P-0146,0.01,0.44,0.13
P-0147,0.01,0.36,0.30
P-0148,0.01,0.61,0.38
P-0149,0.01,0.68,0.42
P-0150,0.01,0.43,0.08
P-0151,0.01,0.57,0.44
P-0152,0.01,0.69,0.09
P-0153,0.01,0.61,0.23
P-0154,0.01,0.31,0.02
P-0155,0.01,0.40,0.45
P-0156,0.01,0.50,0.01
P-0157,0.01,0.66,0.29
P-0158,0.01,0.53,0.05
P-0159,0.01,0.33,0.35
P-0160,0.01,0.28,0.28
P-0161,0.01,0.74,0.05
P-0162,0.01,0.21,0.05
P-0163,0.01,0.76,0.31
P-0164,0.01,0.37,0.22
P-0165,0.01,0.80,0.30
P-0166,0.01,0.39,0.06
P-0167,0.01,0.40,0.07
P-0168,0.01,0.74,0.34
P-0169,0.01,0.48,0.10
P-0170,0.01,0.64,0.21
P-0171,0.01,0.32,0.30
P-0172,0.01,0.26,0.19
P-0173,0.01,0.61,0.41
P-0174,0.01,0.46,0.14
P-0175,0.01,0.51,0.02
P-0176,0.01,0.42,0.32
P-0177,0.01,0.45,0.01
P-0178,0.01,0.56,0.09
P-0179,0.01,0.52,0.01
P-0180,0.01,0.56,0.39
P-0181,0.01,0.61,0.22
P-0182,0.01,0.47,0.31
P-0183,0.01,0.53,0.14
P-0184,0.01,0.40,0.28
P-0185,0.01,0.46,0.30
P-0186,0.10,0.14,0.17
P-0187,0.01,0.59,0.02
P-0188,0.01,0.40,0.21
P-0189,0.01,0.55,0.08
P-0190,0.01,0.74,0.22
P-0191,0.01,0.66,0.30
P-0192,0.01,0.36,0.12
P-0193,0.01,0.36,0.07
P-0194,0.01,0.37,0.01
P-0195,0.01,0.53,0.39
P-0196,0.01,0.79,0.36
P-0197,0.01,0.48,0.10
P-0198,0.01,0.56,0.30
P-0199,0.01,0.50,0.01
P-0200,0.01,0.57,0.16
P-0201,0.01,0.47,0.01
P-0202,0.01,0.52,0.01
P-0203,0.01,0.77,0.34
P-0204,0.01,0.71,0.22
P-0205,0.01,0.40,0.01
P-0206,0.01,0.57,0.12
P-0207,0.01,0.43,0.15
P-0208,0.05,0.10,0.07
P-0209,0.01,0.60,0.08
P-0210,0.01,0.42,0.12
P-0211,0.01,0.47,0.24
P-0212,0.01,0.55,0.26
P-0213,0.01,0.64,0.01
P-0214,0.01,0.37,0.19
P-0215,0.01,0.40,0.26
P-0216,0.01,0.62,0.36
P-0217,0.01,0.70,0.06
P-0218,0.01,0.60,0.31
P-0219,0.01,0.62,0.09
P-0220,0.01,0.53,0.01
P-0221,0.01,0.39,0.29
P-0222,0.01,0.59,0.15
P-0223,0.01,0.53,0.25
P-0224,0.01,0.46,0.31
P-0225,0.01,0.60,0.29
P-0226,0.01,0.45,0.14
P-0227,0.01,0.50,0.39
P-0228,0.01,0.69,0.18
P-0229,0.01,0.49,0.25
P-0230,0.01,0.66,0.05
P-0231,0.01,0.30,0.08
P-0232,0.01,0.59,0.35
P-0233,0.01,0.49,0.32
P-0234,0.01,0.48,0.32
P-0235,0.01,0.50,0.29
P-0236,0.01,0.66,0.15
P-0237,0.01,0.53,0.05
P-0238,0.01,0.59,0.16
P-0239,0.01,0.35,0.06
P-0240,0.01,0.42,0.22
P-0241,0.01,0.19,0.01
P-0242,0.01,0.57,0.32
P-0243,0.01,0.53,0.30
P-0244,0.01,0.60,0.48
P-0245,0.01,0.62,0.26
P-0246,0.01,0.49,0.10
P-0247,0.01,0.64,0.27
P-0248,0.01,0.66,0.42
P-0249,0.01,0.36,0.18
P-0250,0.01,0.47,0.14
P-0251,0.01,0.54,0.21
P-0252,0.01,0.54,0.06
P-0253,0.01,0.73,0.43
P-0254,0.01,0.25,0.19
P-0255,0.01,0.76,0.56
P-0256,0.01,0.53,0.33
P-0257,0.01,0.48,0.15
P-0258,0.01,0.27,0.26
P-0259,0.04,0.43,0.29
P-0260,0.01,0.70,0.09
P-0261,0.01,0.47,0.20
P-0262,0.01,0.42,0.04
P-0263,0.01,0.33,0.08
P-0264,0.01,0.27,0.05
P-0265,0.01,0.32,0.12
P-0266,0.01,0.44,0.01
P-0267,0.01,0.42,0.23
P-0268,0.01,0.72,0.25
P-0269,0.01,0.37,0.17
P-0270,0.01,0.26,0.17
P-0271,0.01,0.64,0.22
P-0272,0.01,0.61,0.14
P-0273,0.01,0.53,0.15
P-0274,0.01,0.38,0.21
P-0275,0.01,0.59,0.28
P-0276,0.01,0.58,0.17
P-0277,0.01,0.34,0.09
P-0278,0.01,0.72,0.30
P-0279,0.01,0.51,0.13
P-0280,0.01,0.54,0.32
P-0281,0.01,0.46,0.19
P-0282,0.01,0.52,0.13
P-0283,0.01,0.47,0.08
P-0284,0.01,0.46,0.26
P-0285,0.01,0.58,0.07
P-0286,0.01,0.53,0.01
P-0287,0.01,0.46,0.17
P-0288,0.01,0.37,0.26
P-0289,0.01,0.37,0.01
P-0290,0.01,0.46,0.30
P-0291,0.01,0.50,0.21
P-0292,0.01,0.61,0.18
P-0293,0.01,0.43,0.32
P-0294,0.01,0.49,0.22
P-0295,0.01,0.67,0.28
P-0296,0.01,0.88,0.30
P-0297,0.01,0.63,0.19
P-0298,0.01,0.45,0.01
P-0299,0.01,0.61,0.23
P-0300,0.01,0.51,0.09
P-0301,0.01,0.56,0.25
P-0302,0.01,0.30,0.33
P-0303,0.01,0.63,0.17
P-0304,0.01,0.63,0.24
P-0305,0.01,0.32,0.27
P-0306,0.01,0.74,0.49
P-0307,0.01,0.65,0.17
P-0308,0.01,0.64,0.05
P-0309,0.01,0.45,0.24
P-0310,0.01,0.45,0.12
P-0311,0.01,0.52,0.01
P-0312,0.01,0.63,0.18
P-0313,0.01,0.64,0.35
P-0314,0.01,0.59,0.52
P-0315,0.01,0.76,0.24
P-0316,0.01,0.60,0.16
P-0317,0.01,0.46,0.32
P-0318,0.01,0.56,0.20
P-0319,0.01,0.66,0.22
P-0320,0.01,0.41,0.16
P-0321,0.01,0.69,0.29
P-0322,0.01,0.37,0.16
P-0323,0.01,0.46,0.11
P-0324,0.01,0.34,0.12
P-0325,0.01,0.45,0.27
P-0326,0.01,0.29,0.24
P-0327,0.01,0.56,0.37
P-0328,0.01,0.67,0.12
P-0329,0.01,0.75,0.21
P-0330,0.01,0.45,0.34
P-0331,0.01,0.68,0.25
P-0332,0.01,0.77,0.25
P-0333,0.01,0.60,0.24
P-0334,0.01,0.55,0.38
P-0335,0.01,0.47,0.32
P-0336,0.01,0.50,0.24
P-0337,0.01,0.44,0.08
P-0338,0.01,0.38,0.28
P-0339,0.01,0.83,0.18
P-0340,0.01,0.78,0.52
P-0341,0.01,0.65,0.07
P-0342,0.01,0.55,0.24
P-0343,0.01,0.55,0.49
P-0344,0.01,0.56,0.30
P-0345,0.01,0.69,0.20
P-0346,0.01,0.64,0.03
P-0347,0.01,0.46,0.01
P-0348,0.01,0.49,0.44
P-0349,0.01,0.49,0.10
P-0350,0.01,0.64,0.29
P-0351,0.01,0.66,0.34
P-0352,0.01,0.29,0.13
P-0353,0.01,0.77,0.36
P-0354,0.01,0.32,0.01
P-0355,0.01,0.39,0.01
P-0356,0.01,0.26,0.01
P-0357,0.11,0.46,0.24
P-0358,0.01,0.56,0.22
P-0359,0.01,0.72,0.33
P-0360,0.01,0.49,0.13
P-0361,0.01,0.50,0.11
P-0362,0.01,0.35,0.01
P-0363,0.01,0.62,0.39
P-0364,0.01,0.68,0.33
P-0365,0.01,0.46,0.29
P-0366,0.01,0.52,0.11
P-0367,0.01,0.67,0.26
P-0368,0.01,0.52,0.20
P-0369,0.01,0.48,0.30
P-0370,0.01,0.42,0.19
P-0371,0.01,0.52,0.53
P-0372,0.01,0.38,0.36
P-0373,0.01,0.55,0.27
P-0374,0.01,0.68,0.26
P-0375,0.01,0.76,0.32
P-0376,0.01,0.63,0.31
P-0377,0.01,0.64,0.38
P-0378,0.01,0.64,0.33
P-0379,0.01,0.37,0.01
P-0380,0.01,0.61,0.25
P-0381,0.01,0.49,0.29
P-0382,0.01,0.52,0.39
P-0383,0.01,0.61,0.20
P-0384,0.01,0.48,0.25
P-0385,0.01,0.56,0.06
P-0386,0.01,0.37,0.05
P-0387,0.01,0.69,0.43
P-0388,0.01,0.40,0.23
P-0389,0.01,0.61,0.34
P-0390,0.01,0.49,0.01
P-0391,0.01,0.77,0.19
P-0392,0.01,0.45,0.08
P-0393,0.01,0.50,0.16
P-0394,0.01,0.46,0.27
P-0395,0.01,0.73,0.46
P-0396,0.01,0.47,0.19
P-0397,0.01,0.36,0.08
P-0398,0.01,0.49,0.07
P-0399,0.01,0.41,0.01
P-0400,0.01,0.45,0.34
P-0401,0.01,0.35,0.01
P-0402,0.01,0.53,0.33
P-0403,0.01,0.70,0.30
P-0404,0.01,0.51,0.38
P-0405,0.01,0.79,0.60
P-0406,0.01,0.51,0.20
P-0407,0.01,0.41,0.30
P-0408,0.01,0.47,0.37
P-0409,0.01,0.55,0.38
P-0410,0.01,0.73,0.17
P-0411,0.01,0.37,0.10
P-0412,0.01,0.60,0.26
P-0413,0.01,0.29,0.02
P-0414,0.01,0.53,0.41
P-0415,0.01,0.19,0.01
P-0416,0.01,0.72,0.08
P-0417,0.01,0.74,0.29
P-0418,0.01,0.46,0.24
P-0419,0.01,0.44,0.15
P-0420,0.01,0.53,0.29
P-0421,0.01,0.36,0.01
P-0422,0.01,0.51,0.46
P-0423,0.01,0.59,0.41
P-0424,0.01,0.42,0.19
P-0425,0.01,0.52,0.17
P-0426,0.01,0.57,0.09
P-0427,0.01,0.42,0.18
P-0428,0.01,0.29,0.17
P-0429,0.01,0.58,0.47
P-0430,0.01,0.58,0.01
P-0431,0.01,0.50,0.27
P-0432,0.01,0.60,0.11
P-0433,0.01,0.62,0.09
P-0434,0.01,0.74,0.47
P-0435,0.01,0.35,0.02
P-0436,0.01,0.59,0.48
P-0437,0.01,0.36,0.24
P-0438,0.01,0.64,0.24
P-0439,0.01,0.64,0.39
P-0440,0.01,0.62,0.25
P-0441,0.01,0.78,0.27
P-0442,0.01,0.59,0.02
P-0443,0.01,0.64,0.17
P-0444,0.01,0.50,0.19
P-0445,0.01,0.42,0.27
P-0446,0.01,0.57,0.46
P-0447,0.01,0.57,0.15
P-0448,0.01,0.61,0.36
P-0449,0.01,0.55,0.18
P-0450,0.01,0.75,0.58
P-0451,0.01,0.48,0.25
P-0452,0.01,0.33,0.20
P-0453,0.01,0.45,0.01
P-0454,0.01,0.29,0.16
P-0455,0.01,0.64,0.39
P-0456,0.01,0.45,0.42
P-0457,0.01,0.63,0.39
P-0458,0.01,0.45,0.04
P-0459,0.01,0.62,0.24
P-0460,0.01,0.22,0.07
P-0461,0.01,0.53,0.14
P-0462,0.01,0.65,0.22
P-0463,0.01,0.68,0.05
P-0464,0.01,0.49,0.12
P-0465,0.01,0.63,0.11
P-0466,0.01,0.30,0.13
P-0467,0.01,0.32,0.06
P-0468,0.01,0.71,0.16
P-0469,0.01,0.57,0.05
P-0470,0.01,0.24,0.17
P-0471,0.01,0.58,0.27
P-0472,0.01,0.49,0.18
P-0473,0.01,0.69,0.01
P-0474,0.01,0.50,0.15
P-0475,0.01,0.54,0.28
P-0476,0.01,0.52,0.19
P-0477,0.01,0.44,0.25
P-0478,0.01,0.72,0.30
P-0479,0.01,0.55,0.25
P-0480,0.01,0.21,0.01
P-0481,0.01,0.59,0.22
P-0482,0.01,0.46,0.40
P-0483,0.01,0.41,0.24
P-0484,0.01,0.15,0.01
P-0485,0.01,0.45,0.09
P-0486,0.01,0.47,0.33
P-0487,0.01,0.53,0.06
P-0488,0.01,0.57,0.30
P-0489,0.01,0.62,0.30
P-0490,0.01,0.27,0.01
P-0491,0.01,0.40,0.09
P-0492,0.01,0.22,0.04
P-0493,0.01,0.54,0.30
P-0494,0.01,0.35,0.09
P-0495,0.01,0.58,0.37
P-0496,0.01,0.53,0.17
P-0497,0.01,0.40,0.25
P-0498,0.01,0.38,0.02
P-0499,0.01,0.45,0.25
P-0500,0.01,0.53,0.14
P-0501,0.01,0.34,0.19
P-0502,0.01,0.76,0.27
P-0503,0.01,0.50,0.07
P-0504,0.01,0.53,0.10
P-0505,0.01,0.53,0.22
P-0506,0.01,0.46,0.06
P-0507,0.01,0.62,0.23
P-0508,0.01,0.54,0.09
P-0509,0.01,0.49,0.10
P-0510,0.01,0.59,0.18
P-0511,0.01,0.71,0.36
P-0512,0.01,0.54,0.08
P-0513,0.01,0.52,0.26
P-0514,0.01,0.66,0.13
P-0515,0.01,0.54,0.30
P-0516,0.01,0.54,0.13
P-0517,0.01,0.57,0.38
P-0518,0.01,0.53,0.27
P-0519,0.01,0.49,0.11
P-0520,0.01,0.66,0.32
P-0521,0.01,0.45,0.19
P-0522,0.02,0.37,0.30
P-0523,0.01,0.56,0.44
P-0524,0.01,0.18,0.01
P-0525,0.07,0.25,0.20
P-0526,0.01,0.76,0.18
P-0527,0.01,0.72,0.42
P-0528,0.01,0.49,0.10
P-0529,0.01,0.52,0.17
P-0530,0.01,0.44,0.26
P-0531,0.01,0.38,0.02
P-0532,0.01,0.68,0.03
P-0533,0.01,0.50,0.09
P-0534,0.01,0.33,0.17
P-0535,0.01,0.30,0.07
P-0536,0.06,0.33,0.24
P-0537,0.01,0.36,0.03
P-0538,0.01,0.58,0.22
P-0539,0.01,0.41,0.26
P-0540,0.01,0.54,0.26
P-0541,0.01,0.44,0.40
P-0542,0.01,0.51,0.01
P-0543,0.01,0.34,0.26
P-0544,0.01,0.63,0.23
P-0545,0.01,0.45,0.32
P-0546,0.01,0.52,0.04
P-0547,0.01,0.76,0.32
P-0548,0.01,0.28,0.10
P-0549,0.01,0.48,0.20
P-0550,0.01,0.41,0.01
P-0551,0.01,0.35,0.06
P-0552,0.01,0.47,0.40
P-0553,0.01,0.68,0.38
P-0554,0.01,0.58,0.32
P-0555,0.01,0.85,0.24
P-0556,0.01,0.68,0.36
P-0557,0.01,0.55,0.01
P-0558,0.01,0.44,0.10
P-0559,0.01,0.27,0.01
P-0560,0.01,0.46,0.27
P-0561,0.01,0.55,0.22
P-0562,0.01,0.58,0.23
P-0563,0.01,0.71,0.23
P-0564,0.01,0.53,0.16
P-0565,0.01,0.70,0.59
P-0566,0.01,0.50,0.10
P-0567,0.01,0.46,0.07
P-0568,0.01,0.37,0.01
P-0569,0.01,0.26,0.01
P-0570,0.01,0.48,0.39
P-0571,0.01,0.65,0.39
P-0572,0.01,0.35,0.07
P-0573,0.01,0.40,0.29
P-0574,0.01,0.58,0.39
P-0575,0.01,0.38,0.10
P-0576,0.01,0.39,0.23
P-0577,0.01,0.48,0.29
P-0578,0.01,0.39,0.15
P-0579,0.01,0.43,0.24
P-0580,0.01,0.46,0.06
P-0581,0.01,0.40,0.31
P-0582,0.01,0.65,0.38
P-0583,0.01,0.44,0.15
P-0584,0.01,0.53,0.01
P-0585,0.01,0.55,0.34
P-0586,0.01,0.50,0.11
P-0587,0.01,0.52,0.08
P-0588,0.01,0.51,0.57
P-0589,0.01,0.49,0.25
P-0590,0.01,0.35,0.30
P-0591,0.01,0.58,0.42
P-0592,0.01,0.68,0.54
P-0593,0.01,0.62,0.17
P-0594,0.01,0.38,0.26
P-0595,0.01,0.45,0.24
P-0596,0.01,0.66,0.28
P-0597,0.01,0.50,0.19
P-0598,0.01,0.65,0.38
P-0599,0.01,0.30,0.01
P-0600,0.01,0.53,0.13
P-0601,0.01,0.63,0.09
P-0602,0.01,0.43,0.29
P-0603,0.01,0.65,0.33
P-0604,0.01,0.70,0.22
P-0605,0.01,0.43,0.21
P-0606,0.01,0.54,0.16
P-0607,0.01,0.48,0.29
P-0608,0.01,0.40,0.12
P-0609,0.01,0.60,0.10
P-0610,0.01,0.42,0.17
P-0611,0.01,0.61,0.01
P-0612,0.01,0.62,0.45
P-0613,0.01,0.26,0.01
P-0614,0.01,0.34,0.17
P-0615,0.01,0.47,0.28
P-0616,0.01,0.27,0.12
P-0617,0.01,0.41,0.01
P-0618,0.01,0.31,0.24
P-0619,0.01,0.32,0.05
P-0620,0.01,0.69,0.16
P-0621,0.01,0.30,0.02
P-0622,0.01,0.43,0.32
P-0623,0.01,0.61,0.15
P-0624,0.01,0.61,0.37
P-0625,0.01,0.53,0.01
P-0626,0.01,0.49,0.15
P-0627,0.01,0.53,0.08
P-0628,0.01,0.63,0.24
P-0629,0.01,0.33,0.26
P-0630,0.01,0.73,0.25
P-0631,0.01,0.60,0.56
P-0632,0.01,0.59,0.36
P-0633,0.01,0.44,0.24
P-0634,0.01,0.21,0.26
P-0635,0.01,0.60,0.21
P-0636,0.01,0.35,0.20
P-0637,0.01,0.70,0.02
P-0638,0.01,0.40,0.36
P-0639,0.01,0.47,0.09
P-0640,0.01,0.34,0.01
P-0641,0.01,0.38,0.09
P-0642,0.01,0.50,0.01
P-0643,0.01,0.21,0.14
P-0644,0.01,0.45,0.24
P-0645,0.01,0.58,0.22
P-0646,0.01,0.66,0.21
P-0647,0.01,0.46,0.30
P-0648,0.01,0.57,0.19
P-0649,0.01,0.37,0.15
P-0650,0.01,0.20,0.17
P-0651,0.01,0.48,0.20
P-0652,0.01,0.18,0.01
P-0653,0.01,0.56,0.20
P-0654,0.01,0.48,0.22
P-0655,0.01,0.28,0.23
P-0656,0.08,0.29,0.18
P-0657,0.01,0.44,0.19
P-0658,0.01,0.34,0.01
P-0659,0.01,0.56,0.04
P-0660,0.01,0.51,0.22
P-0661,0.01,0.42,0.48
P-0662,0.01,0.43,0.06
P-0663,0.01,0.47,0.27
P-0664,0.01,0.69,0.25
P-0665,0.01,0.37,0.22
P-0666,0.01,0.61,0.12
P-0667,0.01,0.33,0.17
P-0668,0.01,0.49,0.04
P-0669,0.01,0.61,0.20
P-0670,0.01,0.41,0.20
P-0671,0.01,0.49,0.05
P-0672,0.01,0.56,0.09
P-0673,0.01,0.56,0.18
P-0674,0.01,0.45,0.28
P-0675,0.01,0.33,0.14
P-0676,0.01,0.38,0.23
P-0677,0.01,0.32,0.20
P-0678,0.01,0.62,0.39
P-0679,0.01,0.44,0.18
P-0680,0.01,0.64,0.47
P-0681,0.01,0.41,0.04
P-0682,0.01,0.48,0.01
P-0683,0.01,0.41,0.10
P-0684,0.01,0.80,0.45
P-0685,0.01,0.33,0.07
P-0686,0.01,0.24,0.30
P-0687,0.01,0.39,0.16
P-0688,0.01,0.72,0.13
P-0689,0.01,0.54,0.18
P-0690,0.01,0.19,0.20
P-0691,0.01,0.55,0.20
P-0692,0.01,0.61,0.34
P-0693,0.01,0.52,0.04
P-0694,0.01,0.64,0.27
P-0695,0.01,0.50,0.23
P-0696,0.08,0.58,0.23
P-0697,0.01,0.66,0.30
P-0698,0.01,0.56,0.34
P-0699,0.01,0.31,0.01
P-0700,0.01,0.36,0.29
P-0701,0.01,0.80,0.39
P-0702,0.01,0.53,0.27
P-0703,0.01,0.61,0.29
P-0704,0.01,0.56,0.18
P-0705,0.01,0.67,0.36
P-0706,0.01,0.47,0.08
P-0707,0.01,0.27,0.01
P-0708,0.01,0.79,0.39
P-0709,0.01,0.64,0.15
P-0710,0.01,0.59,0.21
P-0711,0.01,0.52,0.12
P-0712,0.01,0.55,0.35
P-0713,0.01,0.53,0.23
P-0714,0.01,0.42,0.40
P-0715,0.01,0.16,0.01
P-0716,0.01,0.67,0.11
P-0717,0.01,0.55,0.16
P-0718,0.01,0.67,0.26
P-0719,0.01,0.43,0.01
P-0720,0.01,0.35,0.02
P-0721,0.01,0.65,0.18
P-0722,0.01,0.47,0.01
P-0723,0.01,0.51,0.31
P-0724,0.01,0.52,0.21
P-0725,0.01,0.65,0.10
P-0726,0.01,0.43,0.06
P-0727,0.01,0.46,0.18
P-0728,0.01,0.58,0.05
P-0729,0.01,0.38,0.26
P-0730,0.01,0.66,0.29
P-0731,0.01,0.29,0.01
P-0732,0.02,0.37,0.19
P-0733,0.01,0.68,0.39
P-0734,0.01,0.61,0.17
P-0735,0.01,0.46,0.04
P-0736,0.01,0.53,0.36
P-0737,0.01,0.65,0.26
P-0738,0.01,0.55,0.46
P-0739,0.01,0.53,0.13
P-0740,0.01,0.54,0.19
P-0741,0.01,0.60,0.30
P-0742,0.01,0.72,0.41
P-0743,0.01,0.69,0.20
P-0744,0.01,0.43,0.17
P-0745,0.01,0.54,0.13
P-0746,0.01,0.55,0.29
P-0747,0.01,0.60,0.12
P-0748,0.01,0.36,0.14
P-0749,0.01,0.28,0.27
P-0750,0.01,0.70,0.44
P-0751,0.01,0.61,0.34
P-0752,0.01,0.46,0.08
P-0753,0.01,0.56,0.16
P-0754,0.01,0.44,0.01
P-0755,0.01,0.50,0.25
P-0756,0.01,0.48,0.10
P-0757,0.01,0.42,0.16
P-0758,0.01,0.33,0.19
P-0759,0.01,0.61,0.32
P-0760,0.01,0.43,0.18
P-0761,0.01,0.72,0.48
P-0762,0.01,0.52,0.05
P-0763,0.01,0.59,0.15
P-0764,0.01,0.46,0.40
P-0765,0.01,0.78,0.45
P-0766,0.01,0.50,0.39
P-0767,0.01,0.36,0.05
P-0768,0.01,0.42,0.21
P-0769,0.01,0.37,0.12
P-0770,0.01,0.65,0.16
P-0771,0.01,0.74,0.12
P-0772,0.01,0.42,0.22
P-0773,0.01,0.52,0.40
P-0774,0.01,0.82,0.43
P-0775,0.01,0.49,0.41
P-0776,0.01,0.39,0.15
P-0777,0.01,0.61,0.23
P-0778,0.01,0.53,0.01
P-0779,0.02,0.39,0.13
P-0780,0.01,0.62,0.42
P-0781,0.01,0.58,0.33
P-0782,0.01,0.56,0.24
P-0783,0.01,0.43,0.26
P-0784,0.01,0.33,0.03
P-0785,0.05,0.37,0.24
P-0786,0.01,0.50,0.19
P-0787,0.01,0.50,0.07
P-0788,0.01,0.61,0.12
P-0789,0.01,0.59,0.24
P-0790,0.01,0.55,0.01
P-0791,0.01,0.31,0.01
P-0792,0.01,0.45,0.23
P-0793,0.01,0.40,0.20
P-0794,0.01,0.43,0.08
P-0795,0.01,0.54,0.46
P-0796,0.01,0.60,0.30
P-0797,0.01,0.61,0.45
P-0798,0.01,0.33,0.03
P-0799,0.01,0.62,0.24
P-0800,0.01,0.56,0.16
P-0801,0.01,0.51,0.17
P-0802,0.01,0.57,0.25
P-0803,0.01,0.67,0.29
P-0804,0.01,0.55,0.15
P-0805,0.01,0.80,0.31
P-0806,0.01,0.39,0.11
P-0807,0.01,0.37,0.20
P-0808,0.01,0.55,0.28
P-0809,0.01,0.57,0.15
P-0810,0.01,0.68,0.36
P-0811,0.01,0.73,0.48
P-0812,0.01,0.42,0.09
P-0813,0.01,0.60,0.27
P-0814,0.01,0.54,0.44
P-0815,0.01,0.63,0.44
P-0816,0.01,0.68,0.27
P-0817,0.01,0.64,0.22
P-0818,0.01,0.46,0.27
P-0819,0.01,0.45,0.07
P-0820,0.01,0.59,0.45
P-0821,0.01,0.52,0.12
P-0822,0.01,0.35,0.01
