id,background_type,crest_vision_holder,O,C,E,A,N,DT,NFC,SM,status,ch_id,dorm,grade,mana_color,major,vocation,noble_house,race,origin
P-0012,common_noble,false,0.77,0.54,0.15,0.58,0.69,0.40,0.43,0.08,uninstantiated,,황탑 기숙사,3학년,황,전자유도학파,마법사,,,
P-0013,common_noble,false,0.64,0.67,0.25,0.11,0.88,0.51,0.38,0.18,uninstantiated,,자탑 기숙사,3학년,자,전심학파,마법사,,,
P-0014,common_noble,false,0.57,0.49,0.58,0.78,0.48,0.41,0.42,0.40,uninstantiated,,황탑 기숙사,4학년,황,관성조율학파,마법사,,,
P-0015,signature_noble,true,0.66,0.63,0.50,0.35,0.28,0.40,0.33,0.29,uninstantiated,,비전관,3학년,황,검창전술과,기사,ORG-ARC-HOU-017,,
P-0016,common_noble,false,0.68,0.52,0.38,0.48,0.65,0.23,0.60,0.11,uninstantiated,,기사동,2학년,청,궁노사격과,기사,,,
P-0017,nonhuman,false,0.44,0.66,0.57,0.46,0.37,0.37,0.62,0.18,uninstantiated,,기사동,2학년,녹,공성·공병과,기사,,하플링,
P-0018,common_noble,false,0.64,0.75,0.19,0.32,0.24,0.10,0.50,0.23,uninstantiated,,자탑 기숙사,1학년,자,몽유침잠학파,마법사,,,
P-0019,common_noble,false,0.59,0.69,0.44,0.82,0.38,0.25,0.61,0.40,uninstantiated,,청탑 기숙사,1학년,청,방벽수호학파,마법사,,,
P-0020,common_noble,false,0.77,0.71,0.36,0.25,0.50,0.36,0.57,0.19,uninstantiated,,적탑 기숙사,3학년,적,화염포격학파,마법사,,,
P-0021,common_noble,false,0.99,0.53,0.56,0.71,0.34,0.18,0.75,0.63,uninstantiated,,청탑 기숙사,3학년,청,방벽수호학파,마법사,,,
P-0022,nonhuman,false,0.23,0.64,0.38,0.31,0.29,0.24,0.28,0.29,uninstantiated,,기사동,3학년,녹,기동타격과,기사,,하플링,
P-0023,commoner,false,0.48,0.74,0.68,0.50,0.29,0.45,0.42,0.55,uninstantiated,,적탑 기숙사,4학년,적,폭연연성학파,마법사,,,
P-0024,common_noble,false,0.64,0.61,0.35,0.57,0.43,0.22,0.67,0.32,uninstantiated,,청탑 기숙사,3학년,청,방벽수호학파,마법사,,,
P-0025,signature_noble,true,0.59,0.65,0.36,0.64,0.70,0.20,0.48,0.18,uninstantiated,,비전관,3학년,황,관성조율학파,마법사,ORG-ARC-HOU-001,,
P-0026,commoner,false,0.67,0.55,0.63,0.77,0.33,0.15,0.83,0.54,uninstantiated,,황탑 기숙사,3학년,황,관성조율학파,마법사,,,
P-0027,common_noble,false,0.96,0.58,0.29,0.73,0.68,0.30,0.65,0.16,uninstantiated,,청탑 기숙사,2학년,청,구속연쇄학파,마법사,,,
P-0028,common_noble,false,0.54,0.53,0.33,0.34,0.69,0.48,0.29,0.33,uninstantiated,,녹탑 기숙사,4학년,녹,정령계약학파,마법사,,,
P-0029,common_noble,false,0.53,0.84,0.31,0.53,0.56,0.28,0.69,0.12,uninstantiated,,신전동군,1학년,황,Calision 신전과,사제,,,
P-0030,nonhuman,false,0.62,0.38,0.34,0.78,0.10,0.22,0.60,0.59,uninstantiated,,기사동,1학년,흑,궁노사격과,기사,,고블린,
P-0031,nonhuman,false,0.27,0.55,0.41,0.46,0.41,0.65,0.43,0.27,uninstantiated,,신전동군,3학년,황,봉인신 신전과,사제,,고블린,
P-0032,common_noble,false,0.60,0.68,0.58,0.37,0.25,0.25,0.72,0.60,uninstantiated,,신전동군,1학년,황,Valerion 신전과,사제,,,
P-0033,common_noble,false,0.58,0.85,0.43,0.65,0.47,0.09,0.50,0.19,uninstantiated,,기사동,3학년,황,병참·군정과,기사,,,
P-0034,common_noble,false,0.64,0.78,0.44,0.54,0.36,0.09,0.59,0.28,uninstantiated,,기사동,3학년,청,기동타격과,기사,,,
P-0035,common_noble,false,0.63,0.58,0.50,0.42,0.43,0.44,0.50,0.45,uninstantiated,,기사동,1학년,녹,궁노사격과,기사,,,
P-0036,signature_noble,true,0.65,0.63,0.54,0.39,0.47,0.53,0.38,0.57,uninstantiated,,비전관,3학년,백,공성·공병과,기사,ORG-ARC-HOU-010,,
P-0037,common_noble,false,0.43,0.62,0.49,0.39,0.17,0.28,0.44,0.65,uninstantiated,,청탑 기숙사,2학년,청,구속연쇄학파,마법사,,,
P-0038,common_noble,false,0.54,0.38,0.56,0.64,0.52,0.22,0.59,0.44,uninstantiated,,청탑 기숙사,4학년,청,구속연쇄학파,마법사,,,
P-0039,commoner,false,0.72,0.41,0.77,0.34,0.71,0.41,0.51,0.74,uninstantiated,,기사동,2학년,적,방패호위과,기사,,,
P-0040,commoner,false,0.74,0.58,0.34,0.63,0.41,0.32,0.41,0.33,uninstantiated,,자탑 기숙사,3학년,자,전심학파,마법사,,,
P-0041,common_noble,false,0.66,0.86,0.51,0.57,0.15,0.25,0.48,0.61,uninstantiated,,자탑 기숙사,2학년,자,전심학파,마법사,,,
P-0042,common_noble,false,0.67,0.64,0.40,0.64,0.45,0.30,0.78,0.24,uninstantiated,,황탑 기숙사,연구과정,황,관성조율학파,마법사,,,
P-0043,nonhuman,false,0.64,0.65,0.48,0.54,0.24,0.13,0.57,0.50,uninstantiated,,적탑 기숙사,연구과정,적,화염포격학파,마법사,,엘프,
P-0044,commoner,false,0.68,0.72,0.69,0.52,0.88,0.42,0.45,0.05,uninstantiated,,녹탑 기숙사,3학년,녹,약리전술학파,마법사,,,
P-0045,common_noble,false,0.42,0.45,0.39,0.45,0.72,0.44,0.29,0.11,uninstantiated,,적탑 기숙사,3학년,적,연기전술학파,마법사,,,
P-0046,common_noble,false,0.69,0.84,0.61,0.86,0.32,0.10,0.49,0.56,uninstantiated,,청탑 기숙사,1학년,청,공간쇄정학파,마법사,,,
P-0047,common_noble,false,0.85,0.81,0.44,0.78,0.67,0.28,0.86,0.18,uninstantiated,,신전동군,4학년,적,Vesperian 신전과,사제,,,
P-0048,common_noble,false,0.88,0.60,0.47,0.34,0.81,0.47,0.53,0.39,uninstantiated,,신전동군,1학년,백,Enosian 신전과,사제,,,
P-0049,common_noble,false,0.52,0.93,0.14,0.38,0.38,0.29,0.74,0.33,uninstantiated,,황탑 기숙사,1학년,황,전자유도학파,마법사,,,
P-0050,commoner,false,0.51,0.42,0.36,0.56,0.64,0.37,0.39,0.24,uninstantiated,,적탑 기숙사,연구과정,적,화염포격학파,마법사,,,
P-0051,common_noble,false,0.64,0.74,0.57,0.60,0.57,0.30,0.75,0.26,uninstantiated,,청탑 기숙사,1학년,청,공간쇄정학파,마법사,,,
P-0052,common_noble,false,0.48,0.60,0.67,0.91,0.36,0.24,0.53,0.44,uninstantiated,,흑탑 기숙사,2학년,흑,침식주술학파,마법사,,,
P-0053,common_noble,false,0.69,0.69,0.63,0.56,0.59,0.09,0.68,0.29,uninstantiated,,기사동,4학년,적,지휘참모과,기사,,,
P-0054,common_noble,false,0.48,0.91,0.53,0.51,0.55,0.20,0.63,0.32,uninstantiated,,청탑 기숙사,3학년,청,방벽수호학파,마법사,,,
P-0055,common_noble,false,0.67,0.75,0.60,0.66,0.50,0.15,0.68,0.45,uninstantiated,,기사동,4학년,녹,병참·군정과,기사,,,
P-0056,nonhuman,false,0.62,0.58,0.51,0.75,0.67,0.16,0.54,0.34,uninstantiated,,청탑 기숙사,2학년,청,방벽수호학파,마법사,,리자드포크,
P-0057,common_noble,false,0.75,0.79,0.28,0.47,0.67,0.23,0.57,0.49,uninstantiated,,녹탑 기숙사,2학년,녹,약리전술학파,마법사,,,
P-0058,common_noble,false,0.55,0.51,0.46,0.42,0.74,0.65,0.65,0.21,uninstantiated,,적탑 기숙사,3학년,적,화염포격학파,마법사,,,
P-0059,commoner,false,0.71,0.60,0.46,0.45,0.66,0.24,0.41,0.54,uninstantiated,,황탑 기숙사,4학년,황,전자유도학파,마법사,,,
P-0060,common_noble,false,0.50,0.78,0.91,0.39,0.60,0.56,0.52,0.34,uninstantiated,,녹탑 기숙사,4학년,녹,정령계약학파,마법사,,,
P-0061,common_noble,false,0.55,0.79,0.58,0.66,0.49,0.01,0.56,0.42,uninstantiated,,신전동군,3학년,백,Calision 신전과,사제,,,
P-0062,nonhuman,false,0.78,0.62,0.42,0.76,0.65,0.16,0.64,0.54,uninstantiated,,녹탑 기숙사,3학년,녹,정령계약학파,마법사,,오크,
P-0063,common_noble,false,0.54,0.72,0.28,0.38,0.48,0.32,0.45,0.42,uninstantiated,,기사동,3학년,녹,궁노사격과,기사,,,
P-0064,common_noble,false,0.54,0.74,0.29,0.74,0.60,0.25,0.55,0.22,uninstantiated,,청탑 기숙사,연구과정,청,방벽수호학파,마법사,,,
P-0065,common_noble,false,0.63,0.31,0.89,0.42,0.36,0.58,0.45,0.69,uninstantiated,,청탑 기숙사,4학년,청,방벽수호학파,마법사,,,
P-0066,nonhuman,false,0.65,0.18,0.35,0.42,0.50,0.57,0.18,0.42,uninstantiated,,자탑 기숙사,연구과정,자,전심학파,마법사,,하플링,
P-0067,commoner,false,0.74,0.58,0.55,0.81,0.60,0.17,0.57,0.37,uninstantiated,,백탑 기숙사,3학년,백,순백응급학파,마법사,,,
P-0068,nonhuman,false,0.60,0.68,0.45,0.31,0.41,0.28,0.39,0.44,uninstantiated,,청탑 기숙사,1학년,청,결속조형학파,마법사,,엘프,
P-0069,common_noble,false,0.51,0.60,0.68,0.43,0.30,0.47,0.28,0.75,uninstantiated,,적탑 기숙사,1학년,적,폭연연성학파,마법사,,,
P-0070,common_noble,false,0.31,0.78,0.24,0.50,0.35,0.17,0.45,0.31,uninstantiated,,청탑 기숙사,3학년,청,방벽수호학파,마법사,,,
P-0071,common_noble,false,0.60,0.47,0.76,0.53,0.06,0.11,0.61,0.69,uninstantiated,,황탑 기숙사,1학년,황,관성조율학파,마법사,,,
P-0072,foreigner,false,0.57,0.51,0.42,0.87,0.32,0.01,0.57,0.53,uninstantiated,,자탑 기숙사,3학년,자,심상환영학파,마법사,,,SAH-울카자르권
P-0073,common_noble,false,0.83,0.57,0.60,0.62,0.55,0.16,0.68,0.26,uninstantiated,,자탑 기숙사,4학년,자,심상환영학파,마법사,,,
P-0074,common_noble,false,0.75,0.88,0.29,0.36,0.38,0.30,0.42,0.37,uninstantiated,,황탑 기숙사,2학년,황,관성조율학파,마법사,,,
P-0075,common_noble,false,0.82,0.41,0.61,0.53,0.38,0.37,0.40,0.37,uninstantiated,,백탑 기숙사,4학년,백,순백응급학파,마법사,,,
P-0076,common_noble,false,0.60,0.70,0.41,0.28,0.44,0.46,0.78,0.24,uninstantiated,,자탑 기숙사,2학년,자,전심학파,마법사,,,
P-0077,common_noble,false,0.92,0.64,0.54,0.74,0.33,0.10,0.58,0.82,uninstantiated,,기사동,4학년,녹,지휘참모과,기사,,,
P-0078,signature_noble,true,0.69,0.73,0.83,0.79,0.60,0.26,0.69,0.50,uninstantiated,,비전관,1학년,청,검창전술과,기사,ORG-ARC-HOU-002,,
P-0079,common_noble,false,0.89,0.89,0.63,0.52,0.64,0.36,0.63,0.32,uninstantiated,,흑탑 기숙사,1학년,흑,침식주술학파,마법사,,,
P-0080,common_noble,false,0.93,0.52,0.59,0.49,0.71,0.35,0.62,0.60,uninstantiated,,흑탑 기숙사,4학년,흑,침식주술학파,마법사,,,
P-0081,nonhuman,false,0.67,0.78,0.60,0.72,0.57,0.27,0.52,0.29,uninstantiated,,기사동,1학년,청,지휘참모과,기사,,드워프,
P-0082,common_noble,false,0.37,0.34,0.50,0.58,0.47,0.27,0.40,0.33,uninstantiated,,청탑 기숙사,4학년,청,방벽수호학파,마법사,,,
P-0083,common_noble,false,0.67,0.80,0.49,0.33,0.62,0.30,0.59,0.50,uninstantiated,,기사동,3학년,녹,궁노사격과,기사,,,
P-0084,common_noble,false,0.60,0.57,0.32,0.27,0.76,0.40,0.38,0.24,uninstantiated,,황탑 기숙사,1학년,황,관성조율학파,마법사,,,
P-0085,foreigner,false,0.55,0.62,0.74,0.68,0.61,0.12,0.36,0.25,uninstantiated,,기사동,1학년,적,궁노사격과,기사,,,ARC-인접왕국권
P-0086,common_noble,false,0.63,0.58,0.35,0.74,0.33,0.23,0.58,0.47,uninstantiated,,백탑 기숙사,4학년,백,순백응급학파,마법사,,,
P-0087,nonhuman,false,0.75,0.60,0.77,0.68,0.69,0.25,0.42,0.45,uninstantiated,,황탑 기숙사,2학년,황,전자유도학파,마법사,,비스트킨,
P-0088,common_noble,false,0.80,0.83,0.60,0.58,0.47,0.22,0.74,0.67,uninstantiated,,백탑 기숙사,1학년,백,순백응급학파,마법사,,,
P-0089,common_noble,false,0.57,0.39,0.36,0.82,0.64,0.33,0.75,0.26,uninstantiated,,청탑 기숙사,2학년,청,결속조형학파,마법사,,,
P-0090,commoner,false,0.49,0.31,0.45,0.42,0.61,0.53,0.51,0.49,uninstantiated,,기사동,4학년,적,중장돌격과,기사,,,
P-0091,common_noble,false,0.63,0.46,0.32,0.57,0.38,0.38,0.58,0.61,uninstantiated,,자탑 기숙사,2학년,자,전심학파,마법사,,,
P-0092,common_noble,false,0.47,0.52,0.80,0.62,0.59,0.36,0.42,0.37,uninstantiated,,청탑 기숙사,3학년,청,방벽수호학파,마법사,,,
P-0093,commoner,false,0.52,0.77,0.45,0.68,0.43,0.11,0.29,0.34,uninstantiated,,황탑 기숙사,4학년,황,관성조율학파,마법사,,,
P-0094,common_noble,false,0.93,0.67,0.69,0.58,0.65,0.30,0.51,0.54,uninstantiated,,청탑 기숙사,4학년,청,공간쇄정학파,마법사,,,
P-0095,common_noble,false,0.66,0.58,0.64,0.57,0.44,0.05,0.71,0.35,uninstantiated,,백탑 기숙사,2학년,백,순백응급학파,마법사,,,
P-0096,nonhuman,false,0.90,0.87,0.73,0.57,0.41,0.01,0.66,0.57,uninstantiated,,적탑 기숙사,4학년,적,화염포격학파,마법사,,고블린,
P-0097,commoner,false,0.51,0.71,0.58,0.46,0.46,0.12,0.42,0.37,uninstantiated,,신전동군,3학년,청,Lusenia 신전과,사제,,,
P-0098,common_noble,false,0.70,0.73,0.18,0.48,0.37,0.05,0.58,0.24,uninstantiated,,기사동,3학년,청,검창전술과,기사,,,
P-0099,commoner,false,0.68,0.55,0.42,0.87,0.35,0.19,0.43,0.45,uninstantiated,,녹탑 기숙사,2학년,녹,약리전술학파,마법사,,,
P-0100,commoner,false,0.50,0.55,0.20,0.60,0.68,0.15,0.25,0.23,uninstantiated,,신전동군,2학년,자,Enosian 신전과,사제,,,
P-0101,commoner,false,0.86,0.51,0.75,0.86,0.74,0.22,0.59,0.55,uninstantiated,,백탑 기숙사,1학년,백,순백응급학파,마법사,,,
P-0102,common_noble,false,0.62,0.99,0.59,0.53,0.60,0.42,0.52,0.28,uninstantiated,,자탑 기숙사,2학년,자,전심학파,마법사,,,
P-0103,signature_noble,true,0.78,0.59,0.31,0.57,0.47,0.19,0.49,0.27,uninstantiated,,비전관,2학년,자,전심학파,마법사,ORG-ARC-HOU-015,,
P-0104,common_noble,false,0.61,0.50,0.64,0.43,0.90,0.60,0.32,0.35,uninstantiated,,적탑 기숙사,2학년,적,화염포격학파,마법사,,,
P-0105,common_noble,false,0.69,0.72,0.69,0.70,0.40,0.07,0.69,0.50,uninstantiated,,기사동,4학년,녹,궁노사격과,기사,,,
P-0106,common_noble,false,0.78,0.55,0.77,0.46,0.41,0.34,0.57,0.49,uninstantiated,,기사동,연구과정,녹,기동타격과,기사,,,
P-0107,common_noble,false,0.61,0.52,0.34,0.31,0.43,0.24,0.46,0.37,uninstantiated,,기사동,1학년,자,기동타격과,기사,,,
P-0108,common_noble,false,0.88,0.56,0.71,0.73,0.46,0.20,0.73,0.30,uninstantiated,,청탑 기숙사,2학년,청,구속연쇄학파,마법사,,,
P-0109,common_noble,false,0.59,0.51,0.69,0.75,0.62,0.43,0.46,0.37,uninstantiated,,기사동,1학년,청,대마전투과,기사,,,
P-0110,common_noble,false,0.80,0.51,0.48,0.53,0.39,0.04,0.56,0.40,uninstantiated,,기사동,2학년,청,방패호위과,기사,,,
P-0111,common_noble,false,0.67,0.57,0.52,0.72,0.32,0.26,0.63,0.35,uninstantiated,,자탑 기숙사,3학년,자,전심학파,마법사,,,
P-0112,common_noble,false,0.54,0.69,0.30,0.31,0.34,0.35,0.60,0.53,uninstantiated,,자탑 기숙사,2학년,자,전심학파,마법사,,,
P-0113,common_noble,false,0.99,0.68,0.32,0.60,0.38,0.09,0.71,0.40,uninstantiated,,기사동,3학년,자,지휘참모과,기사,,,
P-0114,commoner,false,0.55,0.54,0.63,0.60,0.19,0.04,0.54,0.54,uninstantiated,,적탑 기숙사,1학년,적,폭연연성학파,마법사,,,
P-0115,commoner,false,0.61,0.67,0.57,0.52,0.34,0.28,0.46,0.38,uninstantiated,,녹탑 기숙사,4학년,녹,약리전술학파,마법사,,,
P-0116,common_noble,false,0.79,0.96,0.54,0.58,0.39,0.07,0.62,0.42,uninstantiated,,백탑 기숙사,2학년,백,순백응급학파,마법사,,,
P-0117,common_noble,false,0.76,0.65,0.50,0.80,0.52,0.21,0.71,0.26,uninstantiated,,적탑 기숙사,1학년,적,화염포격학파,마법사,,,
P-0118,commoner,false,0.36,0.69,0.60,0.80,0.54,0.20,0.49,0.38,uninstantiated,,황탑 기숙사,3학년,황,관성조율학파,마법사,,,
P-0119,common_noble,false,0.73,0.46,0.46,0.47,0.29,0.56,0.61,0.31,uninstantiated,,적탑 기숙사,4학년,적,화염포격학파,마법사,,,
P-0120,common_noble,false,0.51,0.38,0.59,0.51,0.64,0.40,0.41,0.36,uninstantiated,,청탑 기숙사,1학년,청,방벽수호학파,마법사,,,
P-0121,signature_noble,true,0.72,0.60,0.86,0.70,0.49,0.14,0.60,0.22,uninstantiated,,비전관,2학년,청,Silvaria 신전과,사제,ORG-ARC-HOU-018,,
P-0122,common_noble,false,0.58,0.65,0.45,0.73,0.27,0.18,0.65,0.27,uninstantiated,,기사동,4학년,청,대마전투과,기사,,,
P-0123,common_noble,false,0.68,0.72,0.63,0.60,0.86,0.37,0.66,0.58,uninstantiated,,기사동,1학년,청,방패호위과,기사,,,
P-0124,common_noble,false,0.63,0.59,0.29,0.41,0.39,0.51,0.64,0.43,uninstantiated,,기사동,1학년,녹,기마·마수운용과,기사,,,
P-0125,common_noble,false,0.49,0.35,0.87,0.54,0.62,0.60,0.36,0.72,uninstantiated,,기사동,4학년,청,공성·공병과,기사,,,
P-0126,common_noble,false,0.55,0.55,0.68,0.63,0.46,0.36,0.67,0.68,uninstantiated,,적탑 기숙사,1학년,적,화염포격학파,마법사,,,
P-0127,commoner,false,0.57,0.64,0.29,0.79,0.52,0.37,0.53,0.41,uninstantiated,,황탑 기숙사,3학년,황,관성조율학파,마법사,,,
P-0128,common_noble,false,0.51,0.76,0.51,0.82,0.84,0.04,0.56,0.26,uninstantiated,,기사동,2학년,황,공성·공병과,기사,,,
P-0129,common_noble,false,0.64,0.19,0.75,0.64,0.76,0.38,0.41,0.35,uninstantiated,,청탑 기숙사,3학년,청,방벽수호학파,마법사,,,
P-0130,common_noble,false,0.86,0.59,0.78,0.57,0.55,0.20,0.67,0.71,uninstantiated,,녹탑 기숙사,1학년,녹,약리전술학파,마법사,,,
P-0131,common_noble,false,0.55,0.76,0.55,0.31,0.36,0.28,0.45,0.40,uninstantiated,,신전동군,1학년,자,Enosian 신전과,사제,,,
P-0132,signature_noble,true,0.65,0.30,0.87,0.76,0.33,0.12,0.58,0.99,uninstantiated,,비전관,1학년,청,공간쇄정학파,마법사,ORG-ARC-HOU-010,,
P-0133,common_noble,false,0.51,0.58,0.48,0.44,0.64,0.48,0.79,0.28,uninstantiated,,신전동군,1학년,적,Silvaria 신전과,사제,,,
P-0134,commoner,false,0.75,0.50,0.50,0.44,0.73,0.39,0.46,0.64,uninstantiated,,자탑 기숙사,1학년,자,심상환영학파,마법사,,,
P-0135,common_noble,false,0.86,0.41,0.92,0.55,0.44,0.18,0.61,0.62,uninstantiated,,녹탑 기숙사,2학년,녹,약리전술학파,마법사,,,
P-0136,common_noble,false,0.74,0.72,0.62,0.93,0.01,0.01,0.66,0.78,uninstantiated,,적탑 기숙사,2학년,적,화염포격학파,마법사,,,
P-0137,signature_noble,true,0.59,0.68,0.40,0.71,0.61,0.26,0.45,0.57,uninstantiated,,비전관,3학년,적,검창전술과,기사,ORG-ARC-HOU-008,,
P-0138,common_noble,false,0.49,0.30,0.70,0.90,0.58,0.42,0.58,0.36,uninstantiated,,기사동,4학년,청,궁노사격과,기사,,,
P-0139,common_noble,false,0.77,0.62,0.38,0.51,0.79,0.65,0.46,0.23,uninstantiated,,황탑 기숙사,3학년,황,공성진동학파,마법사,,,
P-0140,signature_noble,true,0.57,0.36,0.54,0.70,0.64,0.78,0.35,0.27,uninstantiated,,비전관,3학년,황,Valerion 신전과,사제,ORG-ARC-HOU-003,,
P-0141,common_noble,false,0.36,0.39,0.25,0.40,0.60,0.48,0.09,0.06,uninstantiated,,기사동,2학년,적,궁노사격과,기사,,,
P-0142,common_noble,false,0.70,0.49,0.47,0.63,0.27,0.09,0.46,0.56,uninstantiated,,자탑 기숙사,2학년,자,전심학파,마법사,,,
P-0143,common_noble,false,0.85,0.55,0.26,0.78,0.69,0.01,0.36,0.29,uninstantiated,,청탑 기숙사,2학년,청,방벽수호학파,마법사,,,
P-0144,common_noble,false,0.74,0.63,0.73,0.60,0.42,0.33,0.69,0.54,uninstantiated,,기사동,3학년,황,궁노사격과,기사,,,
P-0145,common_noble,false,0.60,0.38,0.55,0.44,0.68,0.34,0.77,0.46,uninstantiated,,신전동군,3학년,자,Enosian 신전과,사제,,,
P-0146,commoner,false,0.41,0.76,0.43,0.42,0.34,0.21,0.44,0.07,uninstantiated,,신전동군,4학년,녹,Silvaria 신전과,사제,,,
P-0147,common_noble,false,0.54,0.53,0.79,0.88,0.80,0.20,0.23,0.67,uninstantiated,,황탑 기숙사,2학년,황,관성조율학파,마법사,,,
P-0148,common_noble,false,0.56,0.78,0.68,0.65,0.25,0.16,0.72,0.46,uninstantiated,,황탑 기숙사,1학년,황,공성진동학파,마법사,,,
P-0149,nonhuman,false,0.59,0.93,0.87,0.35,0.29,0.47,0.56,0.61,uninstantiated,,청탑 기숙사,2학년,청,방벽수호학파,마법사,,하플링,
P-0150,commoner,false,0.59,0.55,0.30,0.65,0.50,0.26,0.65,0.41,uninstantiated,,적탑 기숙사,4학년,적,연기전술학파,마법사,,,
P-0151,common_noble,false,0.69,0.68,0.95,0.51,0.57,0.36,0.55,0.76,uninstantiated,,적탑 기숙사,3학년,적,화염포격학파,마법사,,,
P-0152,signature_noble,true,0.59,0.96,0.19,0.56,0.13,0.01,0.58,0.28,uninstantiated,,비전관,3학년,녹,정령계약학파,마법사,ORG-ARC-HOU-019,,
P-0153,common_noble,false,0.71,0.69,0.43,0.74,0.39,0.01,0.59,0.11,uninstantiated,,기사동,2학년,청,방패호위과,기사,,,
P-0154,common_noble,false,0.63,0.28,0.19,0.25,0.45,0.39,0.49,0.28,uninstantiated,,청탑 기숙사,2학년,청,방벽수호학파,마법사,,,
P-0155,commoner,false,0.58,0.34,0.77,0.67,0.38,0.34,0.43,0.60,uninstantiated,,신전동군,2학년,청,Silvaria 신전과,사제,,,
P-0156,common_noble,false,0.60,0.87,0.45,0.64,0.82,0.51,0.48,0.14,uninstantiated,,적탑 기숙사,4학년,적,폭연연성학파,마법사,,,
P-0157,common_noble,false,0.90,0.63,0.63,0.53,0.57,0.34,0.63,0.49,uninstantiated,,자탑 기숙사,3학년,자,심상환영학파,마법사,,,
P-0158,common_noble,false,0.42,0.87,0.21,0.48,0.18,0.29,0.38,0.22,uninstantiated,,청탑 기숙사,2학년,청,방벽수호학파,마법사,,,
P-0159,common_noble,false,0.35,0.53,0.70,0.70,0.38,0.20,0.46,0.29,uninstantiated,,청탑 기숙사,1학년,청,방벽수호학파,마법사,,,
P-0160,common_noble,false,0.34,0.52,0.71,0.40,0.44,0.24,0.14,0.54,uninstantiated,,기사동,4학년,백,검창전술과,기사,,,
P-0161,commoner,false,0.82,0.99,0.38,0.70,0.67,0.01,0.66,0.23,uninstantiated,,신전동군,4학년,청,Calision 신전과,사제,,,
P-0162,common_noble,false,0.36,0.46,0.38,0.64,0.63,0.21,0.43,0.24,uninstantiated,,청탑 기숙사,4학년,청,방벽수호학파,마법사,,,
P-0163,common_noble,false,0.95,0.79,0.71,0.67,0.66,0.57,0.77,0.43,uninstantiated,,적탑 기숙사,4학년,적,화염포격학파,마법사,,,
P-0164,common_noble,false,0.68,0.41,0.66,0.54,0.76,0.32,0.53,0.61,uninstantiated,,황탑 기숙사,4학년,황,관성조율학파,마법사,,,
P-0165,common_noble,false,0.99,0.86,0.74,0.67,0.72,0.37,0.75,0.49,uninstantiated,,자탑 기숙사,4학년,자,몽유침잠학파,마법사,,,
P-0166,nonhuman,false,0.42,0.72,0.39,0.56,0.52,0.12,0.60,0.31,uninstantiated,,황탑 기숙사,2학년,황,관성조율학파,마법사,,리자드포크,
P-0167,common_noble,false,0.54,0.61,0.38,0.50,0.55,0.45,0.58,0.25,uninstantiated,,기사동,2학년,백,지휘참모과,기사,,,
P-0168,common_noble,false,0.96,0.70,0.73,0.35,0.53,0.44,0.77,0.57,uninstantiated,,황탑 기숙사,연구과정,황,관성조율학파,마법사,,,
P-0169,commoner,false,0.55,0.70,0.33,0.66,0.45,0.16,0.64,0.51,uninstantiated,,청탑 기숙사,2학년,청,결속조형학파,마법사,,,
P-0170,common_noble,false,0.66,0.88,0.53,0.89,0.55,0.08,0.73,0.50,uninstantiated,,녹탑 기숙사,2학년,녹,약리전술학파,마법사,,,
P-0171,common_noble,false,0.43,0.50,0.67,0.87,0.58,0.15,0.35,0.56,uninstantiated,,녹탑 기숙사,1학년,녹,약리전술학파,마법사,,,
